start_s,end_s,dur,nb_ratio_med,nb_ratio_p75,tonality_med,rms_med,flux_med,td_slope_med,td_slope_min,td_energy_med
501.25,501.85,0.6000000000000227,0.5088694095611572,0.7501564621925354,1.0630992650985718,0.00088913255603984,0.11983810365200043,100.26702880859375,-2004.95458984375,7.412381923835857e-07
501.85,502.1,0.25,0.3573058843612671,0.43939390778541565,1.1271132230758667,0.0006767864106222987,0.10527408123016357,34.9639892578125,-1657.170166015625,3.798250624803728e-07
507.3,508.15000000000003,0.8500000000000227,0.5707427263259888,1.4883164167404175,1.0805120468139648,0.0016333077801391482,0.1967547982931137,-32.10906982421875,-2028.4134521484375,1.636865501048159e-06
509.25,509.95,0.6999999999999886,0.27657651901245117,0.6132041215896606,1.0860977172851562,0.000808194512501359,0.10987910628318787,7.009124755859375,-1957.5775146484375,6.22911650365477e-07
509.95,510.85,0.9000000000000341,0.09800946712493896,0.21587026119232178,1.1577939987182617,0.0007473516743630171,0.12039017677307129,36.53411865234375,-2441.902099609375,9.54144664554645e-07
510.85,511.7,0.8499999999999659,0.34707197546958923,1.9101059436798096,1.035596251487732,0.0008589240023866296,0.1148415356874466,-68.90411376953125,-2338.1240234375,7.873677135923234e-07
511.7,511.95,0.25,0.16507026553153992,0.24843455851078033,1.1152453422546387,0.00060150062199682,0.11890242993831635,15.23284912109375,-1691.8731689453125,6.811251143967697e-07
519.45,520.15,0.6999999999999318,0.32971689105033875,1.1001479625701904,1.094170331954956,0.0007385654607787728,0.0952616035938263,-2.1484375,-2447.392333984375,6.11837882703578e-07
520.15,520.9,0.75,0.5485290884971619,0.887859582901001,1.0465856790542603,0.0009647004189901054,0.10991250723600388,-80.44586181640625,-1678.350830078125,8.309038129793982e-07
520.9,521.6,0.7000000000000455,0.7742506265640259,1.346806526184082,1.0564842224121094,0.0010867617093026638,0.1616615355014801,77.0660400390625,-2098.709228515625,9.734213867412188e-07
523.15,523.85,0.7000000000000455,1.0334327220916748,1.8861256837844849,1.0349204540252686,0.0015172659186646342,0.11766508221626282,109.58175659179688,-2078.300537109375,9.1950621723661e-07
523.85,524.45,0.6000000000000227,0.12089931219816208,0.19765037298202515,1.1473760604858398,0.0005767610855400562,0.09299281984567642,-126.45339965820312,-1403.6285400390625,7.111675562140794e-07
524.45,525.25,0.7999999999999545,0.1670498549938202,0.59769606590271,1.0803889036178589,0.0006388993933796883,0.09552951157093048,96.98257446289062,-2208.11767578125,5.984549785998073e-07
525.25,525.95,0.7000000000000455,0.9951667785644531,2.7852189540863037,1.0400924682617188,0.0009030391229316592,0.10763995349407196,73.32534790039062,-2154.751708984375,7.474968100569002e-07
529.6,530.45,0.8500000000000227,0.380887508392334,1.2553685903549194,1.0764381885528564,0.0007957997149787843,0.09319183975458145,-57.8826904296875,-1825.87890625,4.6406585983631016e-07
533.7,534.55,0.849999999999909,0.32973524928092957,0.9281529784202576,1.0572251081466675,0.0010487278923392296,0.13343685865402222,93.30902099609375,-2318.632568359375,1.0552816604928328e-06
541.3,542.15,0.8500000000000227,0.3151833117008209,2.3343968391418457,1.066681146621704,0.0008262931369245052,0.11099272221326828,-9.73358154296875,-1905.009521484375,7.941875956840034e-07
544.75,545.5,0.75,0.540486752986908,1.0364946126937866,1.0561389923095703,0.0011856650235131383,0.13009542226791382,95.184326171875,-1920.9716796875,6.278074531264218e-07
547.5,548.4,0.8999999999999773,0.8464009761810303,1.277750015258789,1.0537865161895752,0.0010887400712817907,0.13012239336967468,3.162384033203125,-2031.7459716796875,7.670082383632214e-07
548.4,549.85,1.4500000000000455,0.3416796028614044,0.7273319959640503,1.0705362558364868,0.0007804612978361547,0.10428787022829056,12.5640869140625,-2896.768310546875,6.246822219555145e-07
551.5,552.35,0.8500000000000227,1.0375326871871948,2.2179362773895264,1.0656746625900269,0.001153132296167314,0.12365192919969559,41.67633056640625,-2111.4013671875,5.11223748372656e-07
554.25,555.0500000000001,0.8000000000000682,0.18526557087898254,1.7192096710205078,1.084374189376831,0.000758544891141355,0.1103857010602951,-48.549652099609375,-2199.720703125,6.027177502140471e-07
557.35,558.0500000000001,0.7000000000000455,0.8367670178413391,3.0792858600616455,1.0531607866287231,0.001166375121101737,0.12690916657447815,-53.528594970703125,-1607.07861328125,9.404495177601514e-07
558.0500000000001,558.3000000000001,0.25,0.12765344977378845,0.15865708887577057,1.1747468709945679,0.0006179732736200094,0.1164129301905632,-94.59686279296875,-2223.7275390625,9.212088744047516e-07
560.9,561.85,0.9500000000000455,0.1781536340713501,0.5546871423721313,1.105664610862732,0.0016834794078022242,0.18788598477840424,-29.39453125,-2319.831787109375,9.74416205508325e-07
561.85,562.2,0.35000000000002274,2.043360710144043,3.0477490425109863,1.0372580289840698,0.0014478914672508836,0.09564363956451416,-16.4794921875,-1940.2862548828125,5.149719586958011e-07
564.75,565.6,0.8500000000000227,0.19693845510482788,0.6053109765052795,1.1377942562103271,0.0007505418616347015,0.11131051927804947,23.51531982421875,-2162.2314453125,5.413441171886441e-07
565.6,565.85,0.25,0.15200559794902802,0.2611601650714874,1.1616650819778442,0.0005956458626314998,0.10243440419435501,89.74151611328125,-1397.808837890625,4.5507521181614855e-07
569.35,570.0,0.6499999999999773,0.2577793598175049,0.3934778869152069,1.1319915056228638,0.0007581021636724472,0.10981637984514236,-94.65789794921875,-2278.93212890625,7.366753307640593e-07
570.0,570.9,0.8999999999999773,0.08773699402809143,0.15545979142189026,1.2279874086380005,0.0009246651316061616,0.13317084312438965,-52.773284912109375,-2399.177490234375,7.110644592505746e-07
570.9,571.85,0.9500000000000455,0.08412151038646698,0.15686839818954468,1.2164239883422852,0.0008314471342600882,0.11598007380962372,-9.71527099609375,-2295.56591796875,5.600611490403795e-07
571.85,572.6,0.75,0.1550074815750122,0.2624397873878479,1.1725196838378906,0.0009787911549210548,0.13619105517864227,-5.419921875,-2382.624755859375,6.765827552845786e-07
572.6,572.9,0.2999999999999545,0.4848390817642212,0.880409836769104,1.0773913860321045,0.0010469318367540836,0.12376495450735092,28.076934814453125,-984.1552734375,6.198876295904649e-07
578.2,578.85,0.6499999999999773,0.6772938966751099,1.527131199836731,1.0564204454421997,0.0018706119153648615,0.15675637125968933,-65.83404541015625,-2083.279541015625,1.0876746884057445e-06
579.15,579.8000000000001,0.650000000000091,0.20288150012493134,1.0495339632034302,1.066695213317871,0.0006494460976682603,0.08981388807296753,137.69378662109375,-2091.398681640625,4.936854204635554e-07
581.9,582.7,0.8000000000000682,0.35837000608444214,1.1090656518936157,1.0503263473510742,0.0007213567150756717,0.10203801095485687,49.146270751953125,-1653.38134765625,5.799746060391998e-07
582.7,583.3000000000001,0.6000000000000227,0.4428114593029022,1.8375331163406372,1.1027426719665527,0.0012428569607436657,0.14012286067008972,-94.66552734375,-1498.75341796875,8.122962765109187e-07
583.3000000000001,584.0500000000001,0.75,0.11302336305379868,0.23888753354549408,1.157727599143982,0.0006042742170393467,0.1001700684428215,-14.45770263671875,-1661.7020263671875,6.945113839837806e-07
584.0500000000001,584.7,0.6499999999999773,0.6477175951004028,1.5426737070083618,1.0644408464431763,0.0025102479849010706,0.2661035656929016,78.16009521484375,-1872.11767578125,2.049742926390213e-06
590.75,591.5,0.75,0.8038229942321777,2.242461681365967,1.0700784921646118,0.0014968501636758447,0.14814311265945435,125.45166015625,-1982.670654296875,1.533782437423037e-06
591.5,591.8000000000001,0.3000000000000682,0.06465891003608704,0.1553884744644165,1.1105566024780273,0.0005066604935564101,0.09518402069807053,-48.05908203125,-1568.04052734375,6.653777355357037e-07
592.4,593.15,0.75,0.3715727627277374,1.4123806953430176,1.0549418926239014,0.0022583946119993925,0.17235268652439117,66.6473388671875,-2149.18359375,1.0091419383670447e-06
593.15,593.45,0.3000000000000682,0.23962372541427612,0.3536737561225891,1.0906261205673218,0.0007897696341387928,0.09682789444923401,-7.012176513671875,-1678.593505859375,9.892780181779638e-07
596.4,597.2,0.8000000000000682,0.17492394149303436,0.6934033036231995,1.151408076286316,0.0015986489597707987,0.18364807963371277,-41.87774658203125,-1572.5601806640625,2.008847514048305e-06
